timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,1w_close_time,1w_open_time,1w_open,1w_high,1w_low,1w_close,1w_quote_asset_volume,1w_number_of_trades,1w_taker_buy_base_asset_volume,1w_taker_buy_quote_asset_volume,1w_volume,1w_open_time_day,1w_open_time_month,1w_open_time_year,1w_open_time_hour,1w_open_time_minute,1w_close_time_day,1w_close_time_month,1w_close_time_year,1w_close_time_hour,1w_close_time_minute
2018-11-26,4088.69,4450.38,3689.12,4161.01,479459.914101,1543795199999,1958215351.3719673,2077042,244698.73129,999025189.3848451,0,2018-12-02 23:59:59,2018-11-26,4088.69,4450.38,3689.12,4161.01,1958215351.3719673,2077042,244698.73129,999025189.3848451,479459.914101,26,11,2018,0,0,2,12,2018,23,59
2018-12-03,4160.55,4179.0,3222.0,3545.37,406435.817854,1544399999999,1482749121.2938979,1782210,200855.63772,731690242.3146307,0,2018-12-09 23:59:59,2018-12-03,4160.55,4179.0,3222.0,3545.37,1482749121.2938979,1782210,200855.63772,731690242.3146307,406435.817854,3,12,2018,0,0,9,12,2018,23,59
2018-12-10,3548.49,3610.0,3156.26,3228.67,249791.790787,1545004799999,836152010.4252874,1117299,128558.200825,430325194.84914047,0,2018-12-16 23:59:59,2018-12-10,3548.49,3610.0,3156.26,3228.67,836152010.4252874,1117299,128558.200825,430325194.84914047,249791.790787,10,12,2018,0,0,16,12,2018,23,59
2018-12-17,3229.22,4139.99,3216.0,3929.71,489096.741158,1545609599999,1847572336.3309004,2458532,251707.60083,950479898.4100616,0,2018-12-23 23:59:59,2018-12-17,3229.22,4139.99,3216.0,3929.71,1847572336.3309004,2458532,251707.60083,950479898.4100616,489096.741158,17,12,2018,0,0,23,12,2018,23,59
2018-12-24,3929.71,4198.0,3535.0,3801.91,332161.255442,1546214399999,1265644273.2709773,2002072,170607.638623,650229120.2697738,0,2018-12-30 23:59:59,2018-12-24,3929.71,4198.0,3535.0,3801.91,1265644273.2709773,2002072,170607.638623,650229120.2697738,332161.255442,24,12,2018,0,0,30,12,2018,23,59
2018-12-31,3803.12,4027.71,3630.33,3987.6,214860.906242,1546819199999,814657329.2561297,1399286,111418.739855,422523453.01183784,0,2019-01-06 23:59:59,2018-12-31,3803.12,4027.71,3630.33,3987.6,814657329.2561297,1399286,111418.739855,422523453.01183784,214860.906242,31,12,2018,0,0,6,1,2019,23,59
2019-01-07,3987.62,4069.8,3441.3,3476.81,245887.277948,1547423999999,927969289.1543043,1671905,124970.359508,471682333.5219489,0,2019-01-13 23:59:59,2019-01-07,3987.62,4069.8,3441.3,3476.81,927969289.1543043,1671905,124970.359508,471682333.5219489,245887.277948,7,1,2019,0,0,13,1,2019,23,59
2019-01-14,3477.56,3720.0,3467.02,3539.28,199395.792965,1548028799999,716452001.8777007,1441654,103959.69592,373598006.9521006,0,2019-01-20 23:59:59,2019-01-14,3477.56,3720.0,3467.02,3539.28,716452001.8777007,1441654,103959.69592,373598006.9521006,199395.792965,14,1,2019,0,0,20,1,2019,23,59
2019-01-21,3539.26,3662.94,3434.85,3550.84,154566.450861,1548633599999,549194588.0437919,1163997,81698.386968,290345796.5722132,0,2019-01-27 23:59:59,2019-01-21,3539.26,3662.94,3434.85,3550.84,549194588.0437919,1163997,81698.386968,290345796.5722132,154566.450861,21,1,2019,0,0,27,1,2019,23,59
2019-01-28,3550.05,3557.75,3349.92,3458.11,186574.105423,1549238399999,642262558.3385054,1288715,97908.231382,337075608.1135758,0,2019-02-03 23:59:59,2019-01-28,3550.05,3557.75,3349.92,3458.11,642262558.3385054,1288715,97908.231382,337075608.1135758,186574.105423,28,1,2019,0,0,3,2,2019,23,59
